ID,FAMILY,LATITUDE,LONGITUDE,DATE,SPECIESTOTAL,COUNTRYNUM,STATENUM,ROUTE
290,Alcidae,58.442,-134.766,2013,1,840,3,21
230,Alcidae,58.442,-134.766,2014,10,840,3,21
120,Alcidae,51.827,-176.636,1983,24,840,3,90
140,Alcidae,51.827,-176.636,1983,2,840,3,90
210,Alcidae,51.827,-176.636,1983,14,840,3,90
290,Alcidae,51.827,-176.636,1983,3,840,3,90
140,Alcidae,51.827,-176.636,1984,1,840,3,90
230,Alcidae,51.827,-176.636,1984,4,840,3,90
120,Alcidae,51.827,-176.636,1985,10,840,3,90
140,Alcidae,51.827,-176.636,1985,29,840,3,90
230,Alcidae,51.827,-176.636,1985,2,840,3,90
120,Alcidae,51.827,-176.636,1986,20,840,3,90
140,Alcidae,51.827,-176.636,1986,11,840,3,90
230,Alcidae,51.827,-176.636,1986,32,840,3,90
120,Alcidae,51.827,-176.636,1987,5,840,3,90
140,Alcidae,51.827,-176.636,1987,2,840,3,90
230,Alcidae,51.827,-176.636,1987,51,840,3,90
240,Alcidae,51.827,-176.636,1987,4,840,3,90
290,Alcidae,51.827,-176.636,1987,2,840,3,90
230,Alcidae,51.827,-176.636,1990,25,840,3,90
210,Alcidae,51.827,-176.636,1991,7,840,3,90
230,Alcidae,51.827,-176.636,1991,124,840,3,90
290,Alcidae,51.827,-176.636,1991,4,840,3,90
210,Alcidae,51.827,-176.636,1992,5,840,3,90
290,Alcidae,51.827,-176.636,1992,2,840,3,90
120,Alcidae,51.827,-176.636,1993,5,840,3,90
210,Alcidae,51.827,-176.636,1993,3,840,3,90
230,Alcidae,51.827,-176.636,1993,2,840,3,90
290,Alcidae,51.827,-176.636,1993,1,840,3,90
230,Alcidae,51.827,-176.636,1994,21,840,3,90
120,Alcidae,51.827,-176.636,1995,4,840,3,90
210,Alcidae,51.827,-176.636,1995,9,840,3,90
230,Alcidae,51.827,-176.636,1995,12,840,3,90
290,Alcidae,51.827,-176.636,1995,3,840,3,90
230,Alcidae,51.827,-176.636,1996,18,840,3,90
210,Alcidae,51.827,-176.636,1997,11,840,3,90
230,Alcidae,51.827,-176.636,1997,119,840,3,90
240,Alcidae,51.827,-176.636,1997,21,840,3,90
290,Alcidae,51.827,-176.636,1997,2,840,3,90
240,Alcidae,51.827,-176.636,2001,2,840,3,90
290,Alcidae,51.827,-176.636,2001,2,840,3,90
230,Alcidae,59.444,-139.565,2014,5,840,3,125
290,Alcidae,59.444,-139.565,2014,1,840,3,125
230,Alcidae,59.444,-139.565,2015,4,840,3,125
290,Alcidae,59.444,-139.565,2015,1,840,3,125
230,Alcidae,56.808,-132.913,1984,1,840,3,121
230,Alcidae,56.808,-132.913,1987,106,840,3,121
290,Alcidae,57.533,-152.45,1985,1,840,3,131
230,Alcidae,57.533,-152.45,1986,22,840,3,131
290,Alcidae,57.533,-152.45,1986,4,840,3,131
230,Alcidae,57.533,-152.45,1987,4,840,3,131
290,Alcidae,57.533,-152.45,1987,2,840,3,131
230,Alcidae,57.533,-152.45,1988,22,840,3,131
290,Alcidae,57.533,-152.45,1988,1,840,3,131
230,Alcidae,57.533,-152.45,1989,10,840,3,131
290,Alcidae,57.533,-152.45,1989,3,840,3,131
230,Alcidae,57.533,-152.45,1990,21,840,3,131
290,Alcidae,57.533,-152.45,1990,9,840,3,131
230,Alcidae,57.017,-135.155,1997,6,840,3,122
230,Alcidae,57.017,-135.155,2011,7,840,3,122
230,Alcidae,57.533,-152.45,1991,9,840,3,131
290,Alcidae,57.533,-152.45,1991,6,840,3,131
230,Alcidae,57.533,-152.45,1992,14,840,3,131
290,Alcidae,57.533,-152.45,1992,4,840,3,131
230,Alcidae,57.533,-152.45,1993,33,840,3,131
290,Alcidae,57.533,-152.45,1993,17,840,3,131
230,Alcidae,57.017,-135.155,2014,4,840,3,122
230,Alcidae,57.017,-135.155,2015,11,840,3,122
230,Alcidae,57.533,-152.45,1994,13,840,3,131
290,Alcidae,57.533,-152.45,1994,8,840,3,131
230,Alcidae,57.533,-152.45,1995,13,840,3,131
290,Alcidae,57.533,-152.45,1995,6,840,3,131
230,Alcidae,57.533,-152.45,1996,8,840,3,131
290,Alcidae,57.533,-152.45,1996,12,840,3,131
230,Alcidae,55.688,-132.626,1992,10,840,3,123
230,Alcidae,55.688,-132.626,1993,3,840,3,123
230,Alcidae,57.533,-152.45,1997,24,840,3,131
290,Alcidae,57.533,-152.45,1997,11,840,3,131
230,Alcidae,57.533,-152.45,1998,9,840,3,131
290,Alcidae,57.533,-152.45,1998,10,840,3,131
230,Alcidae,57.533,-152.45,2000,30,840,3,131
290,Alcidae,57.533,-152.45,2000,38,840,3,131
230,Alcidae,55.688,-132.626,1995,6,840,3,123
230,Alcidae,55.688,-132.626,1997,7,840,3,123
230,Alcidae,57.533,-152.45,2002,10,840,3,131
290,Alcidae,57.533,-152.45,2002,14,840,3,131
230,Alcidae,57.533,-152.45,2006,7,840,3,131
290,Alcidae,57.533,-152.45,2006,6,840,3,131
230,Alcidae,57.533,-152.45,2007,36,840,3,131
290,Alcidae,57.533,-152.45,2007,8,840,3,131
230,Alcidae,55.688,-132.626,1998,2,840,3,123
230,Alcidae,55.688,-132.626,1999,2,840,3,123
230,Alcidae,55.688,-132.626,2001,14,840,3,123
230,Alcidae,57.533,-152.45,2008,43,840,3,131
290,Alcidae,57.533,-152.45,2008,12,840,3,131
230,Alcidae,57.533,-152.45,2009,77,840,3,131
290,Alcidae,57.533,-152.45,2009,27,840,3,131
230,Alcidae,57.533,-152.45,2010,40,840,3,131
290,Alcidae,57.533,-152.45,2010,17,840,3,131
140,Alcidae,55.269,-162.898,2005,3,840,3,191
290,Alcidae,55.269,-162.898,2005,8,840,3,191
230,Alcidae,55.688,-132.626,2002,3,840,3,123
230,Alcidae,55.688,-132.626,2003,9,840,3,123
230,Alcidae,55.688,-132.626,2004,14,840,3,123
230,Alcidae,55.688,-132.626,2005,5,840,3,123
230,Alcidae,57.533,-152.45,2011,31,840,3,131
290,Alcidae,57.533,-152.45,2011,10,840,3,131
230,Alcidae,57.533,-152.45,2012,19,840,3,131
290,Alcidae,57.533,-152.45,2012,12,840,3,131
230,Alcidae,57.533,-152.45,2013,20,840,3,131
230,Alcidae,57.533,-152.45,2014,19,840,3,131
290,Alcidae,57.533,-152.45,2014,4,840,3,131
290,Alcidae,55.269,-162.898,2006,30,840,3,191
290,Alcidae,55.269,-162.898,2007,2,840,3,191
230,Alcidae,60.497,-145.87,2015,2,840,3,50
230,Alcidae,55.688,-132.626,2007,1,840,3,123
230,Alcidae,55.688,-132.626,2008,1,840,3,123
230,Alcidae,55.688,-132.626,2012,9,840,3,123
230,Alcidae,57.533,-152.45,2015,13,840,3,131
290,Alcidae,57.533,-152.45,2015,3,840,3,131
230,Alcidae,57.533,-152.45,2016,8,840,3,131
230,Alcidae,59.444,-139.565,1993,4,840,3,125
230,Alcidae,59.444,-139.565,1994,12,840,3,125
230,Alcidae,59.444,-139.565,1995,19,840,3,125
300,Alcidae,59.444,-139.565,1995,1,840,3,125
230,Alcidae,59.444,-139.565,1996,6,840,3,125
230,Alcidae,59.444,-139.565,1997,15,840,3,125
230,Alcidae,59.444,-139.565,1998,6,840,3,125
230,Alcidae,59.444,-139.565,1999,7,840,3,125
230,Alcidae,59.444,-139.565,2000,3,840,3,125
230,Alcidae,59.444,-139.565,2001,7,840,3,125
230,Alcidae,59.444,-139.565,2002,8,840,3,125
290,Alcidae,59.444,-139.565,2002,1,840,3,125
230,Alcidae,59.444,-139.565,2004,2,840,3,125
290,Alcidae,59.444,-139.565,2006,1,840,3,125
230,Alcidae,59.444,-139.565,2008,1,840,3,125
290,Alcidae,59.444,-139.565,2008,1,840,3,125
290,Alcidae,59.444,-139.565,2009,1,840,3,125
230,Alcidae,59.444,-139.565,2010,1,840,3,125
230,Alcidae,59.444,-139.565,2011,2,840,3,125
290,Alcidae,59.444,-139.565,2012,2,840,3,125
230,Alcidae,59.444,-139.565,2013,1,840,3,125
290,Alcidae,59.444,-139.565,2013,1,840,3,125
230,Alcidae,56.46,-132.38,2015,10,840,3,224
230,Alcidae,56.46,-132.38,2016,14,840,3,224
290,Alcidae,56.46,-132.38,2016,1,840,3,224
290,Alcidae,57.813,-152.618,1985,5,840,3,231
230,Alcidae,56.74,-132.766,1993,11,840,3,221
230,Alcidae,56.74,-132.766,1994,7,840,3,221
230,Alcidae,56.74,-132.766,1995,3,840,3,221
290,Alcidae,57.813,-152.618,1986,3,840,3,231
290,Alcidae,57.813,-152.618,1988,6,840,3,231
290,Alcidae,57.813,-152.618,1989,4,840,3,231
230,Alcidae,56.74,-132.766,1996,26,840,3,221
230,Alcidae,56.74,-132.766,1997,4,840,3,221
230,Alcidae,56.74,-132.766,1998,5,840,3,221
290,Alcidae,57.813,-152.618,1992,4,840,3,231
290,Alcidae,57.813,-152.618,1993,1,840,3,231
230,Alcidae,56.74,-132.766,2000,2,840,3,221
230,Alcidae,56.74,-132.766,2001,67,840,3,221
230,Alcidae,56.74,-132.766,2002,1,840,3,221
230,Alcidae,56.74,-132.766,2003,6,840,3,221
230,Alcidae,57.813,-152.618,1994,2,840,3,231
290,Alcidae,57.813,-152.618,1994,8,840,3,231
290,Alcidae,57.813,-152.618,1996,5,840,3,231
290,Alcidae,57.813,-152.618,1997,1,840,3,231
230,Alcidae,57.813,-152.618,2000,2,840,3,231
230,Alcidae,56.74,-132.766,2004,6,840,3,221
230,Alcidae,56.74,-132.766,2007,1,840,3,221
230,Alcidae,56.74,-132.766,2008,1,840,3,221
290,Alcidae,57.813,-152.618,2002,4,840,3,231
290,Alcidae,57.813,-152.618,2006,2,840,3,231
230,Alcidae,56.74,-132.766,2009,15,840,3,221
230,Alcidae,56.74,-132.766,2010,6,840,3,221
230,Alcidae,56.74,-132.766,2011,4,840,3,221
290,Alcidae,57.813,-152.618,2008,6,840,3,231
290,Alcidae,57.813,-152.618,2009,5,840,3,231
290,Alcidae,57.813,-152.618,2010,5,840,3,231
290,Alcidae,57.813,-152.618,2011,3,840,3,231
230,Alcidae,56.74,-132.766,2012,3,840,3,221
230,Alcidae,55.844,-132.543,2013,13,840,3,223
290,Alcidae,57.813,-152.618,2012,1,840,3,231
230,Alcidae,57.813,-152.618,2013,1,840,3,231
290,Alcidae,57.813,-152.618,2013,1,840,3,231
290,Alcidae,57.813,-152.618,2014,1,840,3,231
290,Alcidae,57.813,-152.618,2015,3,840,3,231
230,Alcidae,55.844,-132.543,2016,2,840,3,223
230,Alcidae,56.46,-132.38,1990,6,840,3,224
290,Alcidae,57.813,-152.618,2016,1,840,3,231
230,Alcidae,56.46,-132.38,1991,2,840,3,224
230,Alcidae,56.46,-132.38,1992,1,840,3,224
230,Alcidae,56.46,-132.38,1993,1,840,3,224
230,Alcidae,56.46,-132.38,1994,1,840,3,224
230,Alcidae,56.46,-132.38,1996,2,840,3,224
290,Alcidae,56.46,-132.38,1996,10,840,3,224
230,Alcidae,56.46,-132.38,1997,16,840,3,224
290,Alcidae,56.46,-132.38,1997,4,840,3,224
230,Alcidae,56.46,-132.38,1998,17,840,3,224
230,Alcidae,56.46,-132.38,1999,5,840,3,224
230,Alcidae,56.46,-132.38,2000,5,840,3,224
290,Alcidae,56.46,-132.38,2000,6,840,3,224
230,Alcidae,56.46,-132.38,2001,3,840,3,224
290,Alcidae,56.46,-132.38,2001,2,840,3,224
230,Alcidae,56.46,-132.38,2002,12,840,3,224
290,Alcidae,56.46,-132.38,2002,2,840,3,224
230,Alcidae,56.46,-132.38,2003,9,840,3,224
230,Alcidae,56.46,-132.38,2004,8,840,3,224
290,Alcidae,56.46,-132.38,2004,1,840,3,224
230,Alcidae,56.46,-132.38,2005,10,840,3,224
230,Alcidae,56.46,-132.38,2006,5,840,3,224
230,Alcidae,56.46,-132.38,2007,15,840,3,224
290,Alcidae,56.46,-132.38,2007,4,840,3,224
230,Alcidae,56.46,-132.38,2008,23,840,3,224
290,Alcidae,56.46,-132.38,2009,3,840,3,224
230,Alcidae,56.74,-132.766,1988,4,840,3,221
230,Alcidae,56.74,-132.766,1989,13,840,3,221
230,Alcidae,56.46,-132.38,2010,7,840,3,224
290,Alcidae,56.46,-132.38,2010,1,840,3,224
230,Alcidae,56.46,-132.38,2011,4,840,3,224
290,Alcidae,56.46,-132.38,2011,5,840,3,224
230,Alcidae,56.74,-132.766,1990,20,840,3,221
230,Alcidae,56.74,-132.766,1991,1,840,3,221
230,Alcidae,56.74,-132.766,1992,7,840,3,221
230,Alcidae,56.46,-132.38,2012,2,840,3,224
290,Alcidae,56.46,-132.38,2012,1,840,3,224
230,Alcidae,56.46,-132.38,2013,21,840,3,224
290,Alcidae,56.46,-132.38,2013,8,840,3,224
230,Alcidae,56.46,-132.38,2014,12,840,3,224
290,Alcidae,56.46,-132.38,2014,1,840,3,224
300,Alcidae,64.488,-165.312,2015,150,840,3,402
230,Alcidae,59.418,-139.022,2016,2,840,3,321
230,Alcidae,59.418,-139.022,1994,4,840,3,321
230,Alcidae,59.418,-139.022,1995,12,840,3,321
230,Alcidae,59.418,-139.022,1996,2,840,3,321
230,Alcidae,59.418,-139.022,1997,4,840,3,321
300,Alcidae,64.488,-165.312,2003,1,840,3,402
230,Alcidae,59.418,-139.022,1998,6,840,3,321
230,Alcidae,59.418,-139.022,2000,1,840,3,321
230,Alcidae,59.418,-139.022,2001,4,840,3,321
300,Alcidae,64.488,-165.312,2004,11,840,3,402
310,Alcidae,64.488,-165.312,2004,1,840,3,402
300,Alcidae,64.488,-165.312,2005,1,840,3,402
230,Alcidae,59.418,-139.022,2004,16,840,3,321
300,Alcidae,64.488,-165.312,2006,2,840,3,402
120,Alcidae,64.488,-165.312,2007,1,840,3,402
230,Alcidae,59.418,-139.022,2007,3,840,3,321
230,Alcidae,59.418,-139.022,2010,2,840,3,321
140,Alcidae,64.488,-165.312,2009,1,840,3,402
230,Alcidae,59.418,-139.022,2012,2,840,3,321
230,Alcidae,59.418,-139.022,2013,1,840,3,321
140,Alcidae,64.488,-165.312,2011,1,840,3,402
300,Alcidae,64.488,-165.312,2011,13,840,3,402
230,Alcidae,57.922,-135.046,2007,1,840,3,411
230,Alcidae,57.922,-135.046,2009,11,840,3,411
230,Alcidae,57.922,-135.046,2010,19,840,3,411
230,Alcidae,57.922,-135.046,2011,5,840,3,411
230,Alcidae,57.922,-135.046,2012,30,840,3,411
230,Alcidae,57.922,-135.046,2013,2,840,3,411
230,Alcidae,57.922,-135.046,2014,8,840,3,411
230,Alcidae,57.922,-135.046,2015,18,840,3,411
230,Alcidae,57.922,-135.046,2016,1,840,3,411
230,Alcidae,56.208,-133.078,1997,17,840,3,412
230,Alcidae,56.208,-133.078,2001,3,840,3,412
230,Alcidae,56.208,-133.078,2003,8,840,3,412
230,Alcidae,56.208,-133.078,2004,7,840,3,412
230,Alcidae,56.208,-133.078,2005,3,840,3,412
230,Alcidae,56.208,-133.078,2008,1,840,3,412
230,Alcidae,56.208,-133.078,2010,3,840,3,412
230,Alcidae,56.208,-133.078,2012,14,840,3,412
230,Alcidae,56.208,-133.078,2013,15,840,3,412
230,Alcidae,56.208,-133.078,2014,24,840,3,412
230,Alcidae,57.922,-135.046,1993,4,840,3,411
230,Alcidae,57.922,-135.046,1994,10,840,3,411
230,Alcidae,57.922,-135.046,1995,2,840,3,411
230,Alcidae,57.922,-135.046,1996,11,840,3,411
230,Alcidae,57.922,-135.046,1997,2,840,3,411
230,Alcidae,57.922,-135.046,1998,4,840,3,411
230,Alcidae,57.922,-135.046,2000,1,840,3,411
230,Alcidae,57.922,-135.046,2001,23,840,3,411
230,Alcidae,57.922,-135.046,2002,14,840,3,411
230,Alcidae,57.922,-135.046,2003,11,840,3,411
230,Alcidae,57.922,-135.046,2004,2,840,3,411
230,Alcidae,56.35,-132.767,2003,6,840,3,429
230,Alcidae,56.35,-132.767,2005,13,840,3,429
230,Alcidae,56.35,-132.767,2008,2,840,3,429
230,Alcidae,56.35,-132.767,2009,56,840,3,429
230,Alcidae,56.35,-132.767,2010,3,840,3,429
230,Alcidae,56.35,-132.767,2011,4,840,3,429
230,Alcidae,57.838,-135.06,1995,6,840,3,435
230,Alcidae,57.838,-135.06,1997,34,840,3,435
230,Alcidae,57.838,-135.06,2000,3,840,3,435
230,Alcidae,57.838,-135.06,2001,12,840,3,435
230,Alcidae,57.838,-135.06,2003,12,840,3,435
230,Alcidae,57.838,-135.06,2005,2,840,3,435
230,Alcidae,57.838,-135.06,2007,5,840,3,435
230,Alcidae,57.838,-135.06,2010,7,840,3,435
230,Alcidae,57.838,-135.06,2011,38,840,3,435
230,Alcidae,57.838,-135.06,2012,10,840,3,435
230,Alcidae,57.838,-135.06,2013,9,840,3,435
230,Alcidae,57.838,-135.06,2014,25,840,3,435
230,Alcidae,57.838,-135.06,2015,38,840,3,435
230,Alcidae,59.529,-135.351,1997,1,840,3,425
230,Alcidae,59.529,-135.351,1999,2,840,3,425
230,Alcidae,57.838,-135.06,2016,16,840,3,435
230,Alcidae,59.529,-135.351,2004,1,840,3,425
230,Alcidae,59.529,-135.351,2008,2,840,3,425
230,Alcidae,59.529,-135.351,2009,1,840,3,425
230,Alcidae,56.35,-132.767,1993,2,840,3,429
230,Alcidae,56.35,-132.767,1994,2,840,3,429
230,Alcidae,56.35,-132.767,1996,6,840,3,429
230,Alcidae,59.529,-135.351,2010,2,840,3,425
230,Alcidae,56.35,-132.767,1999,1,840,3,429
230,Alcidae,59.529,-135.351,2012,1,840,3,425
230,Alcidae,59.529,-135.351,2013,8,840,3,425
230,Alcidae,56.35,-132.767,2001,28,840,3,429
230,Alcidae,56.708,-134.242,2004,24,840,3,907
230,Alcidae,60.465,-145.348,2011,1,840,3,850
230,Alcidae,56.708,-134.242,2010,2,840,3,907
230,Alcidae,56.647,-131.857,2002,9,840,3,906
290,Alcidae,55.169,-162.742,1991,3,840,3,891
310,Alcidae,66.902,-162.564,2011,1,840,3,444
230,Alcidae,56.647,-131.857,2007,1,840,3,906
230,Alcidae,48.422,-124.055,1974,2,124,11,2
290,Alcidae,49.294,-114.732,1997,2,124,11,3
230,Alcidae,49.407,-123.513,1974,19,124,11,12
230,Alcidae,49.407,-123.513,1981,2,124,11,12
230,Alcidae,49.407,-123.513,1985,2,124,11,12
290,Alcidae,49.407,-123.513,1985,1,124,11,12
230,Alcidae,49.407,-123.513,1996,3,124,11,12
230,Alcidae,49.475,-125.188,2001,2,124,11,14
230,Alcidae,50.704,-127.877,1982,2,124,11,28
230,Alcidae,50.704,-127.877,1984,4,124,11,28
230,Alcidae,50.704,-127.877,1989,3,124,11,28
290,Alcidae,48.405,-123.35,2000,3,124,11,201
150,Alcidae,48.405,-123.35,2002,1,124,11,201
230,Alcidae,48.872,-124.815,1998,2,124,11,202
230,Alcidae,48.872,-124.815,1999,4,124,11,202
230,Alcidae,48.872,-124.815,2001,2,124,11,202
230,Alcidae,48.872,-124.815,2003,5,124,11,202
230,Alcidae,48.872,-124.815,2013,2,124,11,202
150,Alcidae,48.405,-123.35,1974,2,124,11,201
150,Alcidae,48.405,-123.35,1975,16,124,11,201
290,Alcidae,48.405,-123.35,1975,5,124,11,201
150,Alcidae,48.405,-123.35,1976,4,124,11,201
290,Alcidae,48.405,-123.35,1976,2,124,11,201
150,Alcidae,48.405,-123.35,1977,11,124,11,201
290,Alcidae,48.405,-123.35,1977,1,124,11,201
150,Alcidae,48.405,-123.35,1978,11,124,11,201
150,Alcidae,48.405,-123.35,1979,3,124,11,201
290,Alcidae,48.405,-123.35,1979,1,124,11,201
150,Alcidae,48.405,-123.35,1980,6,124,11,201
230,Alcidae,48.405,-123.35,1980,2,124,11,201
290,Alcidae,48.405,-123.35,1980,1,124,11,201
150,Alcidae,48.405,-123.35,1981,20,124,11,201
290,Alcidae,48.405,-123.35,1981,1,124,11,201
150,Alcidae,48.405,-123.35,1982,39,124,11,201
150,Alcidae,48.405,-123.35,1988,29,124,11,201
290,Alcidae,48.405,-123.35,1988,1,124,11,201
150,Alcidae,48.405,-123.35,1989,60,124,11,201
230,Alcidae,48.405,-123.35,1989,3,124,11,201
290,Alcidae,48.405,-123.35,1989,2,124,11,201
300,Alcidae,48.405,-123.35,1989,8,124,11,201
150,Alcidae,54.031,-132.057,1993,1,124,11,198
230,Alcidae,54.031,-132.057,1993,14,124,11,198
290,Alcidae,54.031,-132.057,1993,7,124,11,198
150,Alcidae,54.031,-132.057,1994,2,124,11,198
230,Alcidae,54.031,-132.057,1994,14,124,11,198
290,Alcidae,54.031,-132.057,1994,4,124,11,198
230,Alcidae,54.031,-132.057,1995,12,124,11,198
230,Alcidae,54.031,-132.057,1996,7,124,11,198
150,Alcidae,54.031,-132.057,1997,12,124,11,198
230,Alcidae,54.031,-132.057,1997,4,124,11,198
150,Alcidae,54.031,-132.057,2002,2,124,11,198
230,Alcidae,54.031,-132.057,2002,3,124,11,198
290,Alcidae,54.031,-132.057,2002,19,124,11,198
150,Alcidae,54.031,-132.057,2003,1,124,11,198
230,Alcidae,54.031,-132.057,2003,5,124,11,198
290,Alcidae,54.031,-132.057,2003,3,124,11,198
230,Alcidae,50.026,-125.241,2002,1,124,11,126
230,Alcidae,50.026,-125.241,2003,2,124,11,126
150,Alcidae,54.031,-132.057,2004,34,124,11,198
230,Alcidae,54.031,-132.057,2004,2,124,11,198
290,Alcidae,54.031,-132.057,2004,24,124,11,198
150,Alcidae,54.031,-132.057,2005,7,124,11,198
230,Alcidae,54.031,-132.057,2005,2,124,11,198
290,Alcidae,54.031,-132.057,2005,43,124,11,198
290,Alcidae,54.031,-132.057,2006,10,124,11,198
150,Alcidae,54.031,-132.057,2007,55,124,11,198
230,Alcidae,54.031,-132.057,2007,2,124,11,198
290,Alcidae,54.031,-132.057,2007,1,124,11,198
230,Alcidae,54.031,-132.057,2008,2,124,11,198
150,Alcidae,54.031,-132.057,2009,16,124,11,198
290,Alcidae,54.031,-132.057,2010,2,124,11,198
150,Alcidae,54.031,-132.057,2011,34,124,11,198
290,Alcidae,54.031,-132.057,2011,2,124,11,198
230,Alcidae,54.031,-132.057,2013,2,124,11,198
290,Alcidae,54.031,-132.057,2013,5,124,11,198
