ID,Date,Species_Group,Species,Location,Latitude,Longitude,Coordinate_System
21,1981-01-28,Dinoflagellates,Gymnodinium simplex,Tolo Harbour,22.44363313,114.2222934, WGS84
22,1981-02-14,Dinoflagellates,Karenia mikimotoi,"Hang Hau, Sai Kung",22.29875864,114.2608578, WGS84
23,1981-03-25,Dinoflagellates,Gymnodinium simplex,Tolo Harbour,22.44363313,114.2222934, WGS84
24,1981-10-14,Others,Undetermined sp.,Tolo Harbour,22.44363313,114.2222934, WGS84
25,1982-01-22,Others,Undetermined sp.,Silvermine Bay and Cheung Sha Wan Fish Culture Zone,22.26580039,114.0055577, WGS84
26,1982-03-10,Others,Undetermined sp.,Tolo Harbour,22.44363313,114.2222934, WGS84
27,1982-03-15,Dinoflagellates,Gymnodinium sp.X,Inner Port Shelter near Yeung Chau,22.37932337,114.2802421, WGS84
28,1982-03-19,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
29,1982-03-19,Dinoflagellates,Prorocentrum micans,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
30,1982-05-05,Others,Undetermined sp.,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
31,1982-05-12,Dinoflagellates,Gymnodinium sp.X,Inner Port Shelter near Yeung Chau and Kau Sai Fish Culture Zone,22.34144091,114.3184299, WGS84
32,1982-09-09,Others,Undetermined sp.,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.34428481,114.288801, WGS84
33,1982-09-23,Dinoflagellates,Gonyaulax polygramma,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.34428481,114.288801, WGS84
34,1982-10-30,Others,Undetermined sp.,"Tso Wo Hang, Inner Port Shelter",22.38969025,114.2886137, WGS84
35,1982-11-23,Dinoflagellates,Gyrodinium instriatum,Ma Wan,22.35440486,114.0549403, WGS84
36,1983-03-03,Others,Mesodinium rubrum,Tolo Harbour,22.44363313,114.2222934, WGS84
37,1983-03-09,Others,Undetermined sp.,Tolo Harbour near Sam Mun Tsai,22.45599829,114.2004469, WGS84
38,1983-03-21,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
39,1983-04-11,Dinoflagellates,Noctiluca scintillans,"Turtle Cove Beach, Hong Kong Island",22.23236199,114.2235276, WGS84
40,1983-04-20,Dinoflagellates,Noctiluca scintillans,"Shek O Beach, Turtle Cove Beach, Stanley Main Beach",22.22079862,114.2151446, WGS84
41,1983-04-20,Dinoflagellates,Noctiluca scintillans,Tolo Channel and Long Harbour,22.44908609,114.3475815, WGS84
42,1983-05-16,Others,Teleaulax acuta,Tolo Harbour,22.44363313,114.2222934, WGS84
43,1983-05-19,Dinoflagellates,Ceratium furca,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.34428481,114.288801, WGS84
44,1983-08-12,Dinoflagellates,Noctiluca scintillans,Sok Kwu Wan Fish Culture Zone,22.20844166,114.1334401, WGS84
45,1983-08-14,Others,Undetermined sp.,Tap Mun,22.47287289,114.3536978, WGS84
46,1983-09-19,Dinoflagellates,Ceratium furca,Ma Nam Wat Fish Culture Zone,22.35452464,114.2709305, WGS84
47,1983-09-20,Dinoflagellates,Ceratium furca,Plover Cove (Shuen Wan Hoi),22.46587001,114.2341899, WGS84
48,1983-10-18,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.44363313,114.2222934, WGS84
49,1983-11-11,Dinoflagellates,Prorocentrum micans,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
50,1983-11-12,Dinoflagellates,Gyrodinium instriatum,Deep Bay,22.47862818,113.9741298, WGS84
51,1983-12-13,Dinoflagellates,Heterocapsa circularisquama,Tolo Harbour,22.44363313,114.2222934, WGS84
52,1983-12-13,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
53,1983-12-14,Dinoflagellates,Noctiluca scintillans,Cheung Sha Wan Fish Culture Zone,22.23580365,114.0059654, WGS84
54,1983-12-14,Others,Mesodinium rubrum,Chek Lap Kok,22.32126646,113.9078311, WGS84
55,1983-12-14,Others,Mesodinium rubrum,"Lung Kwu Chau, Pillar Point, Sha Chau",22.3612584,113.9519584, WGS84
56,1983-12-18,Others,Mesodinium rubrum,"Pillar Point (Mong Hau Shek), Tuen Mun",22.36106164,113.952064, WGS84
57,1983-12-19,Others,Mesodinium rubrum,Junk Bay (Tseung Kwan O),22.28708463,114.2587396, WGS84
58,1983-12-28,Dinoflagellates,Gymnodinium sp.,Shatin Hoi,22.41648075,114.2186351, WGS84
59,1984-01-15,Dinoflagellates,Noctiluca scintillans,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.33618972,114.2752212, WGS84
60,1984-01-17,Others,Plagioselmis prolonga,Tolo Harbour,22.44363313,114.2222934, WGS84
61,1984-01-18,Others,Mesodinium rubrum,"Port Shelter (Ngau Mei Hoi), Sai Kung and Po Toi O Fish Culture Zone",22.3442696,114.2888209, WGS84
62,1984-01-30,Others,Plagioselmis prolonga,Yim Tin Tsai Fish Culture Zone and Tolo Harbour,22.43879587,114.215303, WGS84
63,1984-02-10,Diatom,Guinardia delicatula,Yim Tin Tsai Fish Culture Zone,22.45470497,114.2085803, WGS84
64,1984-02-10,Dinoflagellates,Noctiluca scintillans,Yim Tin Tsai Fish Culture Zone,22.45470497,114.2085803, WGS84
65,1984-02-24,Others,Undetermined sp.,Fat Tong Mun,22.25930691,114.2971172, WGS84
66,1984-03-05,Others,Plagioselmis prolonga,Tolo Harbour,22.44363313,114.2222934, WGS84
67,1984-03-09,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
68,1984-03-13,Dinoflagellates,Cochlodinium spp.,Tolo Harbour,22.44363313,114.2222934, WGS84
69,1984-03-13,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
70,1984-03-13,Others,Mesodinium rubrum,Tolo Harbour,22.44363313,114.2222934, WGS84
71,1984-03-14,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.53659814,114.3029047, WGS84
72,1984-03-15,Dinoflagellates,Cochlodinium spp.,Tolo Harbour near Sam Mun Tsai,22.45580621,114.2062049, WGS84
73,1984-03-15,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Sam Mun Tsai,22.45580621,114.2062049, WGS84
74,1984-03-15,Others,Mesodinium rubrum,Tolo Harbour near Sam Mun Tsai,22.45580621,114.2062049, WGS84
75,1984-03-26,Dinoflagellates,Noctiluca scintillans,Port Island (Chek Chau),22.49730322,114.35471, WGS84
76,1984-03-27,Diatom,Leptocylindrus minimus,Tolo Harbour near Sam Mun Tsai,22.45580621,114.2062049, WGS84
77,1984-03-27,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.53659814,114.3029047, WGS84
78,1984-03-27,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Sam Mun Tsai,22.45580621,114.2062049, WGS84
79,1984-03-27,Others,Undetermined sp.,Southern Beaches,22.23588709,114.1954588, WGS84
80,1984-03-31,Dinoflagellates,Noctiluca scintillans,"Stanley Main Beach, Hong Kong Island",22.22082333,114.2151302, WGS84
81,1984-04-03,Dinoflagellates,Gymnodinium simplex,Tolo Harbour and Tolo Channel,22.48177064,114.3150795, WGS84
82,1984-04-03,Dinoflagellates,Noctiluca scintillans,Tolo Harbour and Tolo Channel,22.48177064,114.3150795, WGS84
83,1984-04-05,Dinoflagellates,Noctiluca scintillans,Sok Kwu Wan Fish Culture Zone,22.20969863,114.1339102, WGS84
84,1984-04-11,Others,Undetermined sp.,Long Harbour,22.44931087,114.3475116, WGS84
85,1984-04-12,Dinoflagellates,Gymnodinium sanguineum,Tolo Harbour,22.44166411,114.2023495, WGS84
86,1984-04-12,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44166411,114.2023495, WGS84
87,1984-04-19,Dinoflagellates,Noctiluca scintillans,"Yim Tin Tsai to Ma Shi Chau, Tolo Harbour",22.44622532,114.218696, WGS84
88,1984-04-19,Dinoflagellates,Prorocentrum micans,Tolo Harbour,22.44335475,114.2229576, WGS84
89,1984-05-02,Dinoflagellates,Prorocentrum dentatum,Tolo Harbour and Tolo Channel,22.47229329,114.3012841, WGS84
90,1984-06-12,Dinoflagellates,Prorocentrum dentatum,Tolo Harbour near Tai Po Industrial Estate,22.45043139,114.1850119, WGS84
91,1984-07-12,Dinoflagellates,Prorocentrum sigmoides,Tolo Harbour and Tolo Channel,22.48177064,114.3150795, WGS84
92,1984-09-20,Dinoflagellates,Ceratium furca,Inner Port Shelter near Yeung Chau,22.37932337,114.2802421, WGS84
93,1984-10-01,Others,Trichodesmium erythraeum,"Tai Long Sai Wan to Long Ke Wan, Sai Kung",22.39767986,114.3811674, WGS84
94,1984-10-10,Others,Undetermined sp.,Inner Port Shelter and Ninepin Group South,22.37069074,114.2804468, WGS84
95,1984-10-15,Dinoflagellates,Ceratium furca,Inner Port Shelter,22.37045504,114.2766966, WGS84
96,1985-01-16,Others,Plagioselmis prolonga,Tolo Harbour near Yuen Chau Tsai,22.44718254,114.1787298, WGS84
97,1985-01-17,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
98,1985-01-23,Diatom,Skeletonema costatum,"Tap Shek Kok to Castle Peak Bay, Tuen Mun",22.35477296,113.9346198, WGS84
99,1985-01-23,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
100,1985-01-30,Others,Mesodinium rubrum,Cheung Sha Wan Fish Culture Zone,22.23612415,114.0063176, WGS84
101,1985-02-05,Dinoflagellates,Noctiluca scintillans,Kai Lung Wan Fish Culture Zone,22.36856113,114.3012857, WGS84
102,1985-02-05,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
103,1985-02-08,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44864132,114.1904268, WGS84
104,1985-02-12,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54961885,114.2893079, WGS84
105,1985-02-18,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
106,1985-03-18,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
107,1985-03-26,Dinoflagellates,Noctiluca scintillans,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.33867581,114.3080734, WGS84
108,1985-03-27,Dinoflagellates,Noctiluca scintillans,"Deep Water Bay, Hong Kong Island",22.24029702,114.1821067, WGS84
109,1985-04-02,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
110,1985-04-16,Others,Undetermined sp.,Shatin Hoi,22.41648075,114.2186351, WGS84
111,1985-05-02,Dinoflagellates,Prorocentrum dentatum,Tolo Harbour,22.44363313,114.2222934, WGS84
112,1985-05-02,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
113,1985-05-07,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
114,1985-05-14,Dinoflagellates,Gyrodinium instriatum,Victoria Harbour,22.2890685,114.1746127, WGS84
115,1985-05-20,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
116,1985-06-13,Dinoflagellates,Prorocentrum sigmoides,Tolo Channel,22.4426088,114.266043, WGS84
117,1985-09-24,Others,Undetermined sp.,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.34428481,114.288801, WGS84
118,1985-10-16,Dinoflagellates,Prorocentrum triestinum,Shatin Hoi,22.41648075,114.2186351, WGS84
119,1985-10-25,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
120,1985-11-08,Dinoflagellates,Ceratium furca,Inner Port Shelter,22.37070194,114.280379, WGS84
121,1985-11-13,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.41159496,114.2170793, WGS84
122,1985-11-20,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
123,1985-12-03,Dinoflagellates,Prorocentrum triestinum,Yim Tin Tsai Fish Culture Zone,22.45370889,114.2078674, WGS84
124,1985-12-23,Diatom,Thalassiosira mala,Shatin Hoi,22.41159496,114.2170793, WGS84
125,1985-12-23,Dinoflagellates,Prorocentrum triestinum,Shatin Hoi,22.41159496,114.2170793, WGS84
126,1986-01-22,Others,Undetermined sp.,Tolo Harbour,22.44363313,114.2222934, WGS84
127,1986-02-19,Dinoflagellates,Noctiluca scintillans,Tolo Harbour to Shatin Hoi,22.42598873,114.2197713, WGS84
128,1986-02-25,Others,Mesodinium rubrum,Tolo Harbour,22.44363313,114.2222934, WGS84
129,1986-03-04,Others,Mesodinium rubrum,Tolo Harbour,22.43781888,114.2286475, WGS84
130,1986-03-11,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.53659814,114.3029047, WGS84
131,1986-03-19,Dinoflagellates,Noctiluca scintillans,Plover Cove (Shuen Wan Hoi),22.46481089,114.233879, WGS84
132,1986-04-04,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.53655387,114.3026402, WGS84
133,1986-04-14,Dinoflagellates,Noctiluca scintillans,Yim Tin Tsai Fish Culture Zone,22.45370889,114.2078674, WGS84
134,1986-04-14,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
135,1986-04-18,Dinoflagellates,Noctiluca scintillans,"Hoi Ha Wan, Sai Kung",22.46197842,114.3284549, WGS84
136,1986-04-24,Dinoflagellates,Gonyaulax polygramma,Port Shelter near Kiu Tsui,22.36687978,114.2854653, WGS84
137,1986-04-30,Dinoflagellates,Prorocentrum minimum,Tolo Harbour to Shatin Hoi,22.42598873,114.2197713, WGS84
138,1986-05-14,Diatom,Leptocylindrus danicus,Tolo Harbour,22.44882055,114.252339, WGS84
139,1986-05-14,Others,Teleaulax acuta,Tolo Harbour,22.44882055,114.252339, WGS84
140,1986-05-15,Diatom,Skeletonema costatum,Tolo Harbour,22.44363313,114.2222934, WGS84
141,1986-05-25,Others,Undetermined sp.,East Lamma Channel,22.22818213,114.1497537, WGS84
142,1986-05-27,Others,Teleaulax acuta,Tolo Harbour,22.44363313,114.2222934, WGS84
143,1986-06-03,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
144,1986-06-12,Dinoflagellates,Gymnodinium sp.,Starling Inlet (Sha Tau Kok Hoi),22.53484668,114.2202496, WGS84
145,1986-06-20,Others,Undetermined sp.,Tolo Channel,22.4726467,114.2989095, WGS84
146,1986-06-22,Others,Undetermined sp.,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.34674482,114.3010381, WGS84
147,1986-07-15,Dinoflagellates,Ceratium furca,Tap Mun to Tai Long Wan,22.43011815,114.4147195, WGS84
148,1986-07-29,Diatom,Pseudo-nitzschia pungens,Lei Yue Mun to Junk Bay,22.28653409,114.2497329, WGS84
149,1986-07-29,Diatom,Skeletonema costatum,Lei Yue Mun to Junk Bay,22.28653409,114.2497329, WGS84
150,1986-09-12,Dinoflagellates,Heterocapsa circularisquama,Tolo Harbour,22.44363313,114.2222934, WGS84
151,1986-09-17,Diatom,Skeletonema costatum,Shatin Hoi,22.41648075,114.2186351, WGS84
152,1986-09-20,Dinoflagellates,Prorocentrum sigmoides,Three Fathoms Cove (Kei Ling Ha Hoi),22.43002223,114.2774586, WGS84
153,1986-10-15,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.44572728,114.1915932, WGS84
154,1986-10-15,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.43397797,114.2189348, WGS84
155,1986-11-05,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44545228,114.1939579, WGS84
156,1986-11-12,Diatom,Thalassiosira mala,Shing Mun River,22.39732878,114.2086331, WGS84
157,1986-12-10,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44449756,114.1979685, WGS84
158,1986-12-23,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.44363313,114.2222934, WGS84
159,1986-12-30,Others,Mesodinium rubrum,"Clear Water Bay and Sheung Sze Wan, Sai Kung",22.28372751,114.2952857, WGS84
160,1986-12-31,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
161,1987-01-08,Diatom,Skeletonema costatum,Tolo Harbour,22.44204537,114.1967501, WGS84
162,1987-01-15,Dinoflagellates,Noctiluca scintillans,"Ma Shi Chau, Tolo Harbour",22.45333692,114.2330503, WGS84
163,1987-01-23,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54957087,114.2908311, WGS84
164,1987-02-01,Others,Undetermined sp.,West Lamma Island,22.2188384,114.0724505, WGS84
165,1987-02-02,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
166,1987-02-04,Others,Mesodinium rubrum,Tolo Harbour,22.43948926,114.1993062, WGS84
167,1987-02-06,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
168,1987-03-18,Others,Heterosigma akashiwo,Yim Tin Tsai (East) Fish Culture Zone,22.45439256,114.2223997, WGS84
169,1987-03-31,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54961323,114.2894115, WGS84
170,1987-04-01,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
171,1987-05-01,Dinoflagellates,Noctiluca scintillans,"Turtle Cove Beach, Hong Kong Island",22.23236199,114.2235276, WGS84
172,1987-05-06,Dinoflagellates,Noctiluca scintillans,"Lido Beach and Hoi Mei Wan Beach, Tsuen Wan",22.36681605,114.0764622, WGS84
173,1987-05-07,Dinoflagellates,Noctiluca scintillans,"Silvermine Bay Beach, Lantau Island",22.27011872,114.0004687, WGS84
174,1987-05-07,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44445949,114.2220674, WGS84
175,1987-05-10,Dinoflagellates,Noctiluca scintillans,"Adamasta Channel, Lantau Island",22.21113626,114.0127669, WGS84
176,1987-05-12,Dinoflagellates,Noctiluca scintillans,Lo Tik Wan Fish Culture Zone,22.22083231,114.1295965, WGS84
177,1987-05-13,Others,Heterosigma akashiwo,Tolo Harbour,22.44363313,114.2222934, WGS84
178,1987-05-21,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
179,1987-05-31,Dinoflagellates,Noctiluca scintillans,Southern Beaches,22.24390969,114.1868076, WGS84
180,1987-06-01,Dinoflagellates,Noctiluca scintillans,Leung Shuen Wan Fish Culture Zone,22.34906654,114.352578, WGS84
181,1987-06-15,Dinoflagellates,Noctiluca scintillans,"Repulse Bay Beach, Middle Bay Beach and Chung Hom Kok Beach",22.23588817,114.1954639, WGS84
182,1987-06-24,Diatom,Skeletonema costatum,Tolo Harbour,22.44395134,114.2024965, WGS84
183,1987-07-28,Dinoflagellates,Heterocapsa circularisquama,Three Fathoms Cove (Kei Ling Ha Hoi),22.43002223,114.2774586, WGS84
184,1987-08-03,Diatom,Skeletonema costatum,Victoria Harbour,22.28962099,114.1734204, WGS84
185,1987-08-03,Diatom,Skeletonema costatum,Yim Tin Tsai (East) and Yim Tin Tsai Fish Culture Zones,22.45444022,114.2223898, WGS84
186,1987-08-04,Diatom,Skeletonema costatum,Aberdeen Typhoon Shelter,22.24237567,114.1604901, WGS84
187,1987-08-12,Others,Eutreptiella spp.,Tolo Harbour,22.44399728,114.2213444, WGS84
188,1987-08-14,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.44363313,114.2222934, WGS84
189,1987-09-01,Diatom,Skeletonema costatum,Aberdeen Typhoon Shelter,22.24237567,114.1604901, WGS84
190,1987-09-02,Diatom,Skeletonema costatum,Sok Kwu Wan Fish Culture Zone,22.20844166,114.1334401, WGS84
191,1987-09-30,Diatom,Skeletonema costatum,Tolo Harbour,22.44363313,114.2222934, WGS84
192,1987-10-05,Dinoflagellates,Ceratium furca,Port Shelter near Kiu Tsui,22.36687978,114.2854653, WGS84
193,1987-10-07,Dinoflagellates,Ceratium furca,Rocky Harbour (Leung Shuen Wan Hoi),22.33881483,114.3434399, WGS84
194,1987-12-07,Others,Mesodinium rubrum,Shatin Hoi,22.41648075,114.2186351, WGS84
195,1987-12-11,Others,Mesodinium rubrum,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
196,1987-12-23,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
197,1987-12-29,Dinoflagellates,Noctiluca scintillans,"Stanley Main Beach and Hairpin Bay, Hong Kong Island",22.22097036,114.2148862, WGS84
198,1987-12-29,Dinoflagellates,Noctiluca scintillans,Tolo Channel,22.4817786,114.315074, WGS84
199,1987-12-29,Dinoflagellates,Noctiluca scintillans,"Tso Wo Hang and Tsam Chuk Wan, Sai Kung",22.39490909,114.2856001, WGS84
200,1987-12-29,Others,Teleaulax acuta,Yim Tin Tsai Fish Culture Zone,22.45501347,114.2074788, WGS84
201,1988-01-04,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.54972418,114.2894104, WGS84
202,1988-01-04,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.444379,114.2220297, WGS84
203,1988-01-04,Others,Mesodinium rubrum,Tolo Harbour,22.444379,114.2220297, WGS84
204,1988-01-22,Dinoflagellates,Noctiluca scintillans,Ma Wan Fish Culture Zone,22.35115635,114.0557234, WGS84
205,1988-01-26,Dinoflagellates,Gonyaulax polygramma,O Pui Tong and Wong Wan Fish Culture Zones,22.54479368,114.3001643, WGS84
206,1988-01-29,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour,22.44363313,114.2222934, WGS84
207,1988-02-02,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Wu Kai Sha,22.43948949,114.2404943, WGS84
208,1988-02-03,Diatom,Skeletonema costatum,Tolo Harbour,22.44363313,114.2222934, WGS84
209,1988-02-03,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour and Tolo Channel,22.48489563,114.3397219, WGS84
210,1988-02-04,Dinoflagellates,Ceratium furca,Tolo Harbour,22.44363313,114.2222934, WGS84
211,1988-02-04,Dinoflagellates,Gonyaulax polygramma,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.34428481,114.288801, WGS84
212,1988-02-04,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour,22.44363313,114.2222934, WGS84
213,1988-02-15,Dinoflagellates,Gonyaulax polygramma,Tolo Channel,22.4817786,114.315074, WGS84
214,1988-02-15,Others,Heterosigma akashiwo,Tolo Harbour,22.44363313,114.2222934, WGS84
215,1988-02-22,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44357052,114.2222218, WGS84
216,1988-02-22,Dinoflagellates,Prorocentrum minimum,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44357052,114.2222218, WGS84
217,1988-02-22,Others,Heterosigma akashiwo,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44357052,114.2222218, WGS84
218,1988-02-23,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44425312,114.2225148, WGS84
219,1988-02-23,Dinoflagellates,Noctiluca scintillans,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44425312,114.2225148, WGS84
220,1988-02-23,Dinoflagellates,Prorocentrum minimum,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44425312,114.2225148, WGS84
221,1988-02-26,Dinoflagellates,Gonyaulax polygramma,Rocky Harbour (Leung Shuen Wan Hoi) to Po Pin Chau,22.34783441,114.3694866, WGS84
222,1988-02-26,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour and Tolo Channel,22.48177064,114.3150795, WGS84
223,1988-02-28,Others,Undetermined sp.,Tung Lung Chau Fish Culture Zone,22.25584006,114.2847298, WGS84
224,1988-02-29,Dinoflagellates,Gonyaulax polygramma,"Tai Tam Bay, Hong Kong Island",22.22155117,114.2280334, WGS84
225,1988-02-29,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
226,1988-03-01,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour and Tolo Channel,22.48177064,114.3150795, WGS84
227,1988-03-11,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour,22.44363313,114.2222934, WGS84
228,1988-03-11,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.44363313,114.2222934, WGS84
229,1988-03-11,Others,Eutreptiella spp.,Tolo Harbour,22.44363313,114.2222934, WGS84
230,1988-03-14,Dinoflagellates,Gonyaulax polygramma,Tolo Harbour and Yung Shue Au Fish Culture Zone,22.44357052,114.2222218, WGS84
231,1988-03-15,Dinoflagellates,Gonyaulax polygramma,East Lamma Channel,22.19131905,114.2298001, WGS84
232,1988-03-16,Dinoflagellates,Gonyaulax polygramma,"Clear Water Bay and Lung Ha Wan, Sai Kung",22.28371911,114.295299, WGS84
